complaint_id,category,subcategory,description,incident_date,date_reported,district,district_code,area,pincode,user_address,status,resolution_time,severity
20,Water Supply,Pipeline Leakage,We haven't had running water in Moradabad for the past three days! We are forced to buy water from private tankers at a high cost. Why is no action being taken? People have started protesting due to this persistent problem.,2016-09-07,2016-10-26,Moradabad,UP13,Area 1,200140,"37, Colony Road, Area 1, Moradabad, 200140",Resolved,31.0,Medium
21,Public Transport,Overcrowded Buses,I missed an important job interview because the bus from Jhansi to the city was canceled last minute. We need better transport reliability! We demand an immediate resolution before things get worse.,2017-01-02,2017-06-30,Jhansi,UP09,Area 1,267621,"94, Main Street, Area 1, Jhansi, 267621",Resolved,35.0,High
22,Water Supply,Pipeline Leakage,"In Kanpur, water supply is irregular. Sometimes we get water at midnight, sometimes not at all. People are waking up at odd hours just to fill buckets. Children and elderly people are severely affected due to this issue.",2020-12-08,2021-02-20,Kanpur,UP02,Area 1,220214,"65, Bazaar Road, Area 1, Kanpur, 220214",Pending,,Low
23,Public Transport,Overcrowded Buses,I missed an important job interview because the bus from Ghaziabad to the city was canceled last minute. We need better transport reliability! The local authorities visited once but didn't resolve the issue.,2023-03-10,2023-07-10,Ghaziabad,UP11,Area 3,279335,"44, Colony Road, Area 3, Ghaziabad, 279335",Resolved,23.0,High
24,Electricity Issue,Billing Issue,"I live in Muzaffarnagar, and the power cuts here are unbearable! We barely get electricity for 6-7 hours a day. How are students supposed to study or people supposed to work from home? Children and elderly people are severely affected due to this issue.",2024-11-27,2025-02-03,Muzaffarnagar,UP19,Area 1,242755,"196, Main Street, Area 1, Muzaffarnagar, 242755",Resolved,44.0,Medium
25,Water Supply,Contaminated Water,"I am a resident of Lucknow, and the tap water here is yellowish and smells awful. My children have fallen sick multiple times due to this contamination. Despite multiple complaints, no action has been taken.",2023-03-02,2023-06-07,Lucknow,UP01,Area 2,271903,"11, Colony Road, Area 2, Lucknow, 271903",Pending,,Low
26,Water Supply,No Water Supply,"I am a resident of Allahabad, and the tap water here is yellowish and smells awful. My children have fallen sick multiple times due to this contamination. Children and elderly people are severely affected due to this issue.",2021-08-06,2021-10-19,Allahabad,UP04,Area 4,249617,"27, Bazaar Road, Area 4, Allahabad, 249617",Pending,,Low
27,Public Transport,Overcrowded Buses,"I missed an important job interview because the bus from Mathura to the city was canceled last minute. We need better transport reliability! The situation is worsening each day, and we need urgent help.",2021-06-12,2021-09-16,Mathura,UP17,Area 2,258334,"43, Colony Road, Area 2, Mathura, 258334",In Progress,,Low
28,Public Transport,Fare Overcharging,I missed an important job interview because the bus from Faizabad to the city was canceled last minute. We need better transport reliability! People have started protesting due to this persistent problem.,2020-06-18,2020-11-11,Faizabad,UP14,Area 2,208493,"30, Main Street, Area 2, Faizabad, 208493",Resolved,52.0,High
29,Corruption,Fraud in Public Distribution,I had to pay a bribe of ₹2000 to get my land documents processed in Gorakhpur. Why should honest citizens have to pay extra just to get their rights? Children and elderly people are severely affected due to this issue.,2018-07-04,2018-09-15,Gorakhpur,UP05,Area 2,228451,"167, Colony Road, Area 2, Gorakhpur, 228451",Pending,,Medium
30,Water Supply,No Water Supply,"I am a resident of Lucknow, and the tap water here is yellowish and smells awful. My children have fallen sick multiple times due to this contamination. The local news channel even covered this issue, yet no action.",2022-05-24,2022-11-20,Lucknow,UP01,Area 5,274115,"29, Main Street, Area 5, Lucknow, 274115",In Progress,,Medium
31,Electricity Issue,Voltage Fluctuation,"In Saharanpur, we have constant voltage fluctuations. My refrigerator and TV got damaged due to this, and no one from the electricity board is responding to our complaints. Despite multiple complaints, no action has been taken.",2017-07-09,2017-10-30,Saharanpur,UP16,Area 3,251345,"41, Colony Road, Area 3, Saharanpur, 251345",Pending,,Low
32,Water Supply,No Water Supply,"We haven't had running water in Noida for the past three days! We are forced to buy water from private tankers at a high cost. Why is no action being taken? The local news channel even covered this issue, yet no action.",2021-10-19,2022-03-17,Noida,UP10,Area 1,232583,"47, Bazaar Road, Area 1, Noida, 232583",In Progress,,Medium
33,Corruption,Bribery,"I had to pay a bribe of ₹2000 to get my land documents processed in Rampur. Why should honest citizens have to pay extra just to get their rights? The local news channel even covered this issue, yet no action.",2018-04-19,2018-05-15,Rampur,UP18,Area 2,209362,"86, Main Street, Area 2, Rampur, 209362",Resolved,23.0,Medium
34,Road Maintenance,Unfinished Roadwork,"I commute daily in Meerut, and the potholes are so huge that riding a bike is risky. My friend met with an accident last week due to this! Other residents in my locality are also facing similar issues.",2016-05-17,2016-10-10,Meerut,UP07,Area 4,280604,"163, Bazaar Road, Area 4, Meerut, 280604",Resolved,1.0,High
35,Crime,Theft,"Chain snatching is increasing in Basti. My mother was robbed in broad daylight outside a crowded market! The police took the complaint but haven't taken any action. Even after assurances from the authorities, nothing has changed.",2017-12-22,2018-05-22,Basti,UP20,Area 1,238953,"83, Main Street, Area 1, Basti, 238953",Pending,,Low
36,Road Maintenance,Road Safety Issues,"As a taxi driver in Faizabad, my car’s suspension is completely damaged due to these bad roads. I’ve already spent thousands on repairs, but the roads are still the same. This problem has been ongoing for months with no proper solution.",2022-07-30,2023-01-11,Faizabad,UP14,Area 5,272245,"65, Bazaar Road, Area 5, Faizabad, 272245",Pending,,Low
37,Corruption,Favoritism in Govt Services,I had to pay a bribe of ₹2000 to get my land documents processed in Basti. Why should honest citizens have to pay extra just to get their rights? We demand an immediate resolution before things get worse.,2021-06-30,2021-10-05,Basti,UP20,Area 5,216237,"30, Bazaar Road, Area 5, Basti, 216237",Pending,,Low
38,Corruption,Favoritism in Govt Services,"As a contractor in Noida, I lost a project bid because the official favored another bidder who paid him off. Corruption is ruining opportunities for honest people! The situation is worsening each day, and we need urgent help.",2024-12-04,2025-01-28,Noida,UP10,Area 3,282370,"46, Bazaar Road, Area 3, Noida, 282370",In Progress,,Low
39,Electricity Issue,Meter Fault,"In Lucknow, we have constant voltage fluctuations. My refrigerator and TV got damaged due to this, and no one from the electricity board is responding to our complaints. The situation is worsening each day, and we need urgent help.",2016-03-26,2016-09-15,Lucknow,UP01,Area 5,268817,"65, Main Street, Area 5, Lucknow, 268817",Resolved,18.0,High
40,Electricity Issue,Billing Issue,"In Faizabad, we have constant voltage fluctuations. My refrigerator and TV got damaged due to this, and no one from the electricity board is responding to our complaints. Other residents in my locality are also facing similar issues.",2023-03-10,2023-05-25,Faizabad,UP14,Area 2,259658,"26, Bazaar Road, Area 2, Faizabad, 259658",In Progress,,High
41,Public Transport,Irregular Metro Services,"As a college student in Rampur, I struggle daily because of irregular metro services. We are forced to take expensive auto-rickshaws instead. We demand an immediate resolution before things get worse.",2022-09-18,2023-02-13,Rampur,UP18,Area 4,254261,"36, Bazaar Road, Area 4, Rampur, 254261",Resolved,8.0,High
42,Water Supply,No Water Supply,"In Bareilly, water supply is irregular. Sometimes we get water at midnight, sometimes not at all. People are waking up at odd hours just to fill buckets. Even after assurances from the authorities, nothing has changed.",2021-09-25,2021-12-07,Bareilly,UP08,Area 2,227392,"146, Colony Road, Area 2, Bareilly, 227392",Resolved,21.0,Low
43,Road Maintenance,Potholes,"The main road connecting our village to Lucknow city is completely broken. Ambulances struggle to reach patients, and we have no other alternative route. The local authorities visited once but didn't resolve the issue.",2019-05-22,2019-07-24,Lucknow,UP01,Area 3,219622,"117, Bazaar Road, Area 3, Lucknow, 219622",Resolved,29.0,High
44,Corruption,Fraud in Public Distribution,"In Basti, government ration shops are engaging in fraud. Despite my eligibility, I am denied food grains unless I ‘tip’ the shopkeeper. The local news channel even covered this issue, yet no action.",2014-12-16,2015-03-28,Basti,UP20,Area 3,237195,"89, Colony Road, Area 3, Basti, 237195",In Progress,,High
45,Water Supply,Low Pressure,"In Rampur, water supply is irregular. Sometimes we get water at midnight, sometimes not at all. People are waking up at odd hours just to fill buckets. Despite multiple complaints, no action has been taken.",2023-06-08,2023-11-04,Rampur,UP18,Area 3,299414,"44, Colony Road, Area 3, Rampur, 299414",In Progress,,High
46,Corruption,Fraud in Public Distribution,"As a contractor in Firozabad, I lost a project bid because the official favored another bidder who paid him off. Corruption is ruining opportunities for honest people! Children and elderly people are severely affected due to this issue.",2018-10-19,2019-01-12,Firozabad,UP15,Area 5,209973,"17, Bazaar Road, Area 5, Firozabad, 209973",In Progress,,High
47,Crime,Robbery,"There have been multiple thefts in our colony in Gorakhpur in the last month. People are scared, and yet there is no police patrolling. The local authorities visited once but didn't resolve the issue.",2021-11-06,2021-11-26,Gorakhpur,UP05,Area 2,215919,"75, Main Street, Area 2, Gorakhpur, 215919",Resolved,24.0,Medium
48,Electricity Issue,Power Outage,"I live in Noida, and the power cuts here are unbearable! We barely get electricity for 6-7 hours a day. How are students supposed to study or people supposed to work from home? Despite multiple complaints, no action has been taken.",2016-04-20,2016-09-21,Noida,UP10,Area 4,236508,"170, Colony Road, Area 4, Noida, 236508",In Progress,,Medium
49,Public Transport,Overcrowded Buses,"Public buses in Basti are always overcrowded. As a woman, I feel unsafe traveling during peak hours. Why can’t there be more frequent buses? The local news channel even covered this issue, yet no action.",2023-11-13,2024-01-19,Basti,UP20,Area 1,289804,"61, Main Street, Area 1, Basti, 289804",Resolved,30.0,Low
50,Corruption,Fraud in Public Distribution,"I had to pay a bribe of ₹2000 to get my land documents processed in Meerut. Why should honest citizens have to pay extra just to get their rights? The situation is worsening each day, and we need urgent help.",2014-05-01,2014-06-18,Meerut,UP07,Area 3,284170,"64, Colony Road, Area 3, Meerut, 284170",Resolved,6.0,Medium
51,Corruption,Bribery,"In Saharanpur, government ration shops are engaging in fraud. Despite my eligibility, I am denied food grains unless I ‘tip’ the shopkeeper. We demand an immediate resolution before things get worse.",2018-01-02,2018-04-03,Saharanpur,UP16,Area 4,228022,"128, Colony Road, Area 4, Saharanpur, 228022",Resolved,8.0,Medium
52,Road Maintenance,Potholes,"The main road connecting our village to Gorakhpur city is completely broken. Ambulances struggle to reach patients, and we have no other alternative route. Children and elderly people are severely affected due to this issue.",2015-03-23,2015-08-20,Gorakhpur,UP05,Area 2,292046,"26, Colony Road, Area 2, Gorakhpur, 292046",Pending,,Low
53,Crime,Chain Snatching,Chain snatching is increasing in Faizabad. My mother was robbed in broad daylight outside a crowded market! The police took the complaint but haven't taken any action. The local authorities visited once but didn't resolve the issue.,2016-10-23,2016-12-13,Faizabad,UP14,Area 4,283493,"15, Main Street, Area 4, Faizabad, 283493",Pending,,Low
54,Electricity Issue,Billing Issue,"As a shop owner in Varanasi, my business is suffering due to frequent power cuts. The inverters don’t last this long, and customers are leaving frustrated. This problem has been ongoing for months with no proper solution.",2024-07-27,2024-09-08,Varanasi,UP03,Area 5,273139,"184, Bazaar Road, Area 5, Varanasi, 273139",In Progress,,High
55,Road Maintenance,Blocked Drainage,"I commute daily in Allahabad, and the potholes are so huge that riding a bike is risky. My friend met with an accident last week due to this! Other residents in my locality are also facing similar issues.",2023-01-21,2023-04-27,Allahabad,UP04,Area 4,214851,"126, Colony Road, Area 4, Allahabad, 214851",In Progress,,Low
56,Corruption,Favoritism in Govt Services,"I had to pay a bribe of ₹2000 to get my land documents processed in Varanasi. Why should honest citizens have to pay extra just to get their rights? Despite multiple complaints, no action has been taken.",2022-09-26,2022-12-20,Varanasi,UP03,Area 3,217411,"122, Bazaar Road, Area 3, Varanasi, 217411",In Progress,,High
57,Public Transport,Poor Bus Condition,"Public buses in Aligarh are always overcrowded. As a woman, I feel unsafe traveling during peak hours. Why can’t there be more frequent buses? This problem has been ongoing for months with no proper solution.",2020-03-04,2020-04-25,Aligarh,UP12,Area 1,226823,"19, Bazaar Road, Area 1, Aligarh, 226823",In Progress,,High
58,Water Supply,Contaminated Water,"I am a resident of Gorakhpur, and the tap water here is yellowish and smells awful. My children have fallen sick multiple times due to this contamination. This problem has been ongoing for months with no proper solution.",2017-07-26,2018-01-08,Gorakhpur,UP05,Area 4,219106,"169, Main Street, Area 4, Gorakhpur, 219106",Pending,,Low
59,Corruption,Bribery,"As a contractor in Muzaffarnagar, I lost a project bid because the official favored another bidder who paid him off. Corruption is ruining opportunities for honest people! The situation is worsening each day, and we need urgent help.",2023-09-18,2024-03-02,Muzaffarnagar,UP19,Area 2,264387,"189, Bazaar Road, Area 2, Muzaffarnagar, 264387",In Progress,,High
60,Water Supply,Low Pressure,We haven't had running water in Firozabad for the past three days! We are forced to buy water from private tankers at a high cost. Why is no action being taken? Children and elderly people are severely affected due to this issue.,2020-05-29,2020-10-18,Firozabad,UP15,Area 2,241511,"87, Main Street, Area 2, Firozabad, 241511",In Progress,,Low
61,Electricity Issue,Voltage Fluctuation,"I live in Basti, and the power cuts here are unbearable! We barely get electricity for 6-7 hours a day. How are students supposed to study or people supposed to work from home? Children and elderly people are severely affected due to this issue.",2020-01-31,2020-05-09,Basti,UP20,Area 3,292948,"44, Colony Road, Area 3, Basti, 292948",Resolved,43.0,Medium
62,Water Supply,Contaminated Water,"We haven't had running water in Noida for the past three days! We are forced to buy water from private tankers at a high cost. Why is no action being taken? The situation is worsening each day, and we need urgent help.",2015-04-07,2015-06-15,Noida,UP10,Area 2,208278,"152, Main Street, Area 2, Noida, 208278",Pending,,Low
63,Public Transport,Irregular Metro Services,"Public buses in Gorakhpur are always overcrowded. As a woman, I feel unsafe traveling during peak hours. Why can’t there be more frequent buses? Children and elderly people are severely affected due to this issue.",2020-06-27,2020-10-29,Gorakhpur,UP05,Area 4,269121,"41, Colony Road, Area 4, Gorakhpur, 269121",Resolved,48.0,Low
64,Corruption,Fraud in Public Distribution,"I had to pay a bribe of ₹2000 to get my land documents processed in Rampur. Why should honest citizens have to pay extra just to get their rights? Despite multiple complaints, no action has been taken.",2019-11-20,2020-02-03,Rampur,UP18,Area 5,254360,"152, Colony Road, Area 5, Rampur, 254360",Pending,,High
65,Public Transport,Fare Overcharging,"Public buses in Varanasi are always overcrowded. As a woman, I feel unsafe traveling during peak hours. Why can’t there be more frequent buses? Despite multiple complaints, no action has been taken.",2018-07-09,2018-10-03,Varanasi,UP03,Area 4,204816,"49, Colony Road, Area 4, Varanasi, 204816",In Progress,,Low
66,Water Supply,Low Pressure,We haven't had running water in Ghaziabad for the past three days! We are forced to buy water from private tankers at a high cost. Why is no action being taken? People have started protesting due to this persistent problem.,2021-08-26,2021-10-23,Ghaziabad,UP11,Area 5,263667,"148, Colony Road, Area 5, Ghaziabad, 263667",Pending,,Low
67,Water Supply,Low Pressure,We haven't had running water in Allahabad for the past three days! We are forced to buy water from private tankers at a high cost. Why is no action being taken? People have started protesting due to this persistent problem.,2021-10-21,2022-02-24,Allahabad,UP04,Area 1,268855,"136, Bazaar Road, Area 1, Allahabad, 268855",Resolved,10.0,Medium
68,Electricity Issue,Power Outage,"In Muzaffarnagar, we have constant voltage fluctuations. My refrigerator and TV got damaged due to this, and no one from the electricity board is responding to our complaints. Despite multiple complaints, no action has been taken.",2014-09-08,2014-12-14,Muzaffarnagar,UP19,Area 2,238400,"4, Bazaar Road, Area 2, Muzaffarnagar, 238400",Resolved,54.0,Low
69,Water Supply,Low Pressure,"In Rampur, water supply is irregular. Sometimes we get water at midnight, sometimes not at all. People are waking up at odd hours just to fill buckets. We demand an immediate resolution before things get worse.",2016-04-26,2016-09-03,Rampur,UP18,Area 5,240267,"200, Main Street, Area 5, Rampur, 240267",Pending,,High
70,Electricity Issue,Voltage Fluctuation,"I live in Noida, and the power cuts here are unbearable! We barely get electricity for 6-7 hours a day. How are students supposed to study or people supposed to work from home? The local authorities visited once but didn't resolve the issue.",2024-01-16,2024-02-02,Noida,UP10,Area 1,271702,"126, Bazaar Road, Area 1, Noida, 271702",Resolved,9.0,High
71,Road Maintenance,Road Safety Issues,"The main road connecting our village to Saharanpur city is completely broken. Ambulances struggle to reach patients, and we have no other alternative route. Other residents in my locality are also facing similar issues.",2014-04-23,2014-10-19,Saharanpur,UP16,Area 3,207707,"125, Colony Road, Area 3, Saharanpur, 207707",In Progress,,Low
72,Water Supply,No Water Supply,We haven't had running water in Varanasi for the past three days! We are forced to buy water from private tankers at a high cost. Why is no action being taken? People have started protesting due to this persistent problem.,2017-11-28,2018-04-13,Varanasi,UP03,Area 3,251382,"20, Main Street, Area 3, Varanasi, 251382",In Progress,,High
73,Water Supply,Contaminated Water,"In Kanpur, water supply is irregular. Sometimes we get water at midnight, sometimes not at all. People are waking up at odd hours just to fill buckets. This problem has been ongoing for months with no proper solution.",2018-03-18,2018-04-13,Kanpur,UP02,Area 2,272657,"70, Main Street, Area 2, Kanpur, 272657",Resolved,12.0,High
74,Crime,Theft,"There have been multiple thefts in our colony in Firozabad in the last month. People are scared, and yet there is no police patrolling. We demand an immediate resolution before things get worse.",2015-03-07,2015-08-01,Firozabad,UP15,Area 5,276131,"115, Bazaar Road, Area 5, Firozabad, 276131",In Progress,,Medium
75,Road Maintenance,Road Safety Issues,"As a taxi driver in Bareilly, my car’s suspension is completely damaged due to these bad roads. I’ve already spent thousands on repairs, but the roads are still the same. People have started protesting due to this persistent problem.",2022-09-29,2023-02-14,Bareilly,UP08,Area 5,246544,"23, Bazaar Road, Area 5, Bareilly, 246544",Resolved,36.0,Medium
76,Corruption,Land Registration Scam,"I had to pay a bribe of ₹2000 to get my land documents processed in Mathura. Why should honest citizens have to pay extra just to get their rights? The situation is worsening each day, and we need urgent help.",2024-04-12,2024-06-06,Mathura,UP17,Area 4,270441,"116, Colony Road, Area 4, Mathura, 270441",Pending,,High
77,Water Supply,Low Pressure,"I am a resident of Moradabad, and the tap water here is yellowish and smells awful. My children have fallen sick multiple times due to this contamination. Children and elderly people are severely affected due to this issue.",2014-04-29,2014-08-04,Moradabad,UP13,Area 3,278113,"50, Colony Road, Area 3, Moradabad, 278113",Pending,,High
78,Corruption,Favoritism in Govt Services,"As a contractor in Gorakhpur, I lost a project bid because the official favored another bidder who paid him off. Corruption is ruining opportunities for honest people! Even after assurances from the authorities, nothing has changed.",2022-11-17,2023-04-20,Gorakhpur,UP05,Area 1,269766,"100, Main Street, Area 1, Gorakhpur, 269766",Resolved,12.0,Medium
79,Water Supply,Low Pressure,"I am a resident of Faizabad, and the tap water here is yellowish and smells awful. My children have fallen sick multiple times due to this contamination. We demand an immediate resolution before things get worse.",2019-06-10,2019-09-28,Faizabad,UP14,Area 5,284397,"135, Colony Road, Area 5, Faizabad, 284397",Pending,,Medium
80,Crime,Theft,"Cyber fraud is rampant in Firozabad. My uncle lost ₹50,000 to an online scam, and the authorities are not doing enough to track these criminals. Despite multiple complaints, no action has been taken.",2023-12-22,2024-02-01,Firozabad,UP15,Area 3,205641,"73, Colony Road, Area 3, Firozabad, 205641",Pending,,Medium
81,Crime,Robbery,"Cyber fraud is rampant in Saharanpur. My uncle lost ₹50,000 to an online scam, and the authorities are not doing enough to track these criminals. Even after assurances from the authorities, nothing has changed.",2014-08-28,2014-10-24,Saharanpur,UP16,Area 2,262401,"142, Bazaar Road, Area 2, Saharanpur, 262401",In Progress,,Medium
82,Road Maintenance,Potholes,"I commute daily in Meerut, and the potholes are so huge that riding a bike is risky. My friend met with an accident last week due to this! This problem has been ongoing for months with no proper solution.",2014-07-07,2014-07-26,Meerut,UP07,Area 3,294297,"120, Main Street, Area 3, Meerut, 294297",Pending,,Medium
83,Water Supply,No Water Supply,"In Saharanpur, water supply is irregular. Sometimes we get water at midnight, sometimes not at all. People are waking up at odd hours just to fill buckets. This problem has been ongoing for months with no proper solution.",2024-03-12,2024-03-23,Saharanpur,UP16,Area 4,235878,"158, Main Street, Area 4, Saharanpur, 235878",In Progress,,Low
84,Public Transport,Overcrowded Buses,"As a college student in Ghaziabad, I struggle daily because of irregular metro services. We are forced to take expensive auto-rickshaws instead. The situation is worsening each day, and we need urgent help.",2017-07-13,2017-09-14,Ghaziabad,UP11,Area 2,220324,"99, Colony Road, Area 2, Ghaziabad, 220324",In Progress,,Low
85,Road Maintenance,Blocked Drainage,"I commute daily in Jhansi, and the potholes are so huge that riding a bike is risky. My friend met with an accident last week due to this! The situation is worsening each day, and we need urgent help.",2014-10-08,2015-03-14,Jhansi,UP09,Area 2,235459,"9, Colony Road, Area 2, Jhansi, 235459",Pending,,Medium
86,Public Transport,Fare Overcharging,"Public buses in Rampur are always overcrowded. As a woman, I feel unsafe traveling during peak hours. Why can’t there be more frequent buses? This problem has been ongoing for months with no proper solution.",2019-05-16,2019-05-18,Rampur,UP18,Area 5,296778,"138, Bazaar Road, Area 5, Rampur, 296778",Pending,,Medium
87,Road Maintenance,Road Safety Issues,"The main road connecting our village to Saharanpur city is completely broken. Ambulances struggle to reach patients, and we have no other alternative route. The situation is worsening each day, and we need urgent help.",2017-09-24,2017-12-10,Saharanpur,UP16,Area 5,295953,"142, Bazaar Road, Area 5, Saharanpur, 295953",Resolved,39.0,Medium
88,Public Transport,Irregular Metro Services,"Public buses in Meerut are always overcrowded. As a woman, I feel unsafe traveling during peak hours. Why can’t there be more frequent buses? The local news channel even covered this issue, yet no action.",2021-05-12,2021-07-19,Meerut,UP07,Area 4,294319,"165, Colony Road, Area 4, Meerut, 294319",Resolved,37.0,Medium
89,Road Maintenance,Blocked Drainage,"I commute daily in Mathura, and the potholes are so huge that riding a bike is risky. My friend met with an accident last week due to this! Even after assurances from the authorities, nothing has changed.",2019-09-03,2019-11-07,Mathura,UP17,Area 3,287834,"193, Main Street, Area 3, Mathura, 287834",In Progress,,High
90,Electricity Issue,Voltage Fluctuation,"As a shop owner in Faizabad, my business is suffering due to frequent power cuts. The inverters don’t last this long, and customers are leaving frustrated. The local news channel even covered this issue, yet no action.",2017-09-30,2017-10-23,Faizabad,UP14,Area 3,288047,"193, Main Street, Area 3, Faizabad, 288047",In Progress,,Medium
91,Water Supply,Pipeline Leakage,"I am a resident of Mathura, and the tap water here is yellowish and smells awful. My children have fallen sick multiple times due to this contamination. We demand an immediate resolution before things get worse.",2016-07-08,2016-07-22,Mathura,UP17,Area 5,259916,"46, Main Street, Area 5, Mathura, 259916",In Progress,,High
